name,X,Y
Intel Arc A750,12582,1289
Intel Arc A770,13473,1599
AMD Radeon RX 6650 XT,10026,1749
AMD Radeon RX 6800 XT,19585,3199
NVIDIA GeForce RTX 3060 Ti,11581,2649
NVIDIA GeForce GTX 1650 SUPER,4688,959
AMD Radeon RX 7900 XT,25998,5149
AMD Radeon RX 6800,16492,2699
AMD Radeon RX 5500 XT,4860,879
NVIDIA GeForce RTX 3070,13502,2799
AMD Radeon RX 5600 XT,7760,1499
AMD Radeon RX 6700 XT,12860,2399
NVIDIA GeForce RTX 3060,8696,1499
NVIDIA GeForce GTX 1660 SUPER,5996,1249
NVIDIA GeForce RTX 3080,17564,3999
AMD Radeon RX 6600 XT,9688,1799
NVIDIA GeForce RTX 3070 Ti,14832,3299
AMD Radeon RX 5700,8544,2259
AMD Radeon RX 6600,8159,1349
NVIDIA GeForce RTX 3050,6197,1499
NVIDIA GeForce GTX 1660,5415,1249
AMD Radeon RX 6500 XT,4975,969
NVIDIA GeForce GTX 1650,3599,939
NVIDIA GeForce GTX 1660 Ti,6271,1399
AMD Radeon RX 570,3858,649
AMD Radeon 6900 XT,21117,6599
NVIDIA GeForce RTX 2060,7498,1299
AMD Radeon RX 470,3690,899
AMD Radeon RX 460,1769,459
AMD Radeon RX 580,4350,1099
AMD Radeon RX 480,4146,899
NVIDIA GeForce RTX 2070,8931,2099
AMD Radeon RX Vega 56,6887,1899
NVIDIA GeForce RTX 3080 Ti,19572,5799
NVIDIA GeForce 3070 LHR,13512,5799
NVIDIA GeForce RTX 4070 Ti,22736,4749
NVIDIA GeForce GTX 1050 Ti,2337,869
AMD Radeon RX 550,1198,482
NVIDIA GeForce GTX 950,1879,679
